Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Bind,Nongshim RedForce,$$$ (won),13,8
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Bind,Mega Minors,Pistol Won,,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Bind,Mega Minors,Eco (won),3,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Bind,Mega Minors,$ (won),1,0
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Bind,Mega Minors,$$ (won),5,3
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Bind,Mega Minors,$$$ (won),13,5
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Abyss,Nongshim RedForce,Pistol Won,,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Abyss,Nongshim RedForce,Eco (won),3,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Abyss,Nongshim RedForce,$ (won),1,0
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Abyss,Nongshim RedForce,$$ (won),6,3
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Abyss,Nongshim RedForce,$$$ (won),14,9
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Abyss,Mega Minors,Pistol Won,,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Abyss,Mega Minors,Eco (won),5,1
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Abyss,Mega Minors,$ (won),0,0
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Abyss,Mega Minors,$$ (won),4,3
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Abyss,Mega Minors,$$$ (won),15,7
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,All Maps,Nongshim RedForce,Pistol Won,,2
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,All Maps,Nongshim RedForce,Eco (won),5,2
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,All Maps,Nongshim RedForce,$ (won),4,0
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,All Maps,Nongshim RedForce,$$ (won),10,7
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,All Maps,Nongshim RedForce,$$$ (won),27,17
