Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
Valorant Masters Santiago 2026,Playoffs,Grand Final,Split,Nongshim RedForce,neon,1,0,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Split,Paper Rex,omen,0,1,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Split,Paper Rex,yoru,0,1,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Split,Paper Rex,viper,0,1,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Split,Paper Rex,fade,0,1,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Split,Paper Rex,raze,0,1,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Abyss,Nongshim RedForce,omen,1,0,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Abyss,Nongshim RedForce,yoru,1,0,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Abyss,Nongshim RedForce,waylay,1,0,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Abyss,Nongshim RedForce,sova,1,0,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Abyss,Nongshim RedForce,cypher,1,0,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Abyss,Paper Rex,omen,0,1,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Abyss,Paper Rex,yoru,0,1,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Abyss,Paper Rex,waylay,0,1,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Abyss,Paper Rex,vyse,0,1,1
Valorant Masters Santiago 2026,Playoffs,Grand Final,Abyss,Paper Rex,sova,0,1,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Pearl,Gentle Mates,yoru,1,0,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Pearl,Gentle Mates,fade,1,0,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Pearl,Gentle Mates,astra,1,0,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Pearl,Gentle Mates,neon,1,0,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Pearl,Gentle Mates,cypher,1,0,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Pearl,All Gamers,yoru,0,1,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Pearl,All Gamers,fade,0,1,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Pearl,All Gamers,waylay,0,1,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Pearl,All Gamers,astra,0,1,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Pearl,All Gamers,killjoy,0,1,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Split,Gentle Mates,yoru,0,1,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Split,Gentle Mates,viper,0,1,1
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Split,Gentle Mates,fade,0,1,1
